"mel.both_baseMean","mel.both_log2FoldChange","mel.both_padj","mel.both_f.wf","mel.both_m.wf","log2FoldChange.FM"
"FBgn0000057",8.47059443717623,0.681409592287327,2.19672873656377e-12,8.07869499388837,8.76639920594712,-0.681409592287327
"FBgn0000061",3.10577341985195,-0.160631465492508,0.724127208659972,3.03143987305415,2.98237748469598,0.160631465492508
"FBgn0000063",6.74509517062902,-0.790540448847063,0.00296722908932705,6.92847155716901,6.29291778909624,0.790540448847063
"FBgn0000064",14.268654082331,0.439405496775909,0.00551889165961681,13.9881039536805,14.4596630045032,-0.439405496775909
"FBgn0000071",2.88771830556974,-1.64182892681215,0.0538162718499185,2.65105114570432,1.71951794250924,1.64182892681215
"FBgn0000075",5.89024751955348,-1.4525569272772,0.00757169881832738,5.71691018466098,4.91065672270907,1.4525569272772
"FBgn0000077",6.36543320971419,-0.394800951788274,0.017909352598922,6.51406462135732,6.14173286362176,0.394800951788274
"FBgn0000078",10.9156055454313,0.21817286772027,0.543863640735035,10.6263897954245,10.8862525516342,-0.21817286772027
"FBgn0000079",11.2472082028211,0.105981199200627,0.841988085458668,10.8550709572947,11.111243962447,-0.105981199200627
"FBgn0000083",10.7233457794421,0.188208447259006,0.145825645620721,10.6115400169432,10.7971462322594,-0.188208447259006
"FBgn0000084",9.00231535723155,0.43524563755493,5.71863869538615e-07,8.76114795117876,9.1981739988449,-0.43524563755493
"FBgn0000092",3.29494401095411,2.1964567368828,0.000258579907716935,1.94293629257086,3.58066601508626,-2.1964567368828
"FBgn0000094",8.86946990359713,11.9205439402785,2.43450630539783e-54,0.121595503014773,9.78213143436724,-11.9205439402785
"FBgn0000097",8.52267405221982,-0.649524349506141,0.000195643830124617,8.75494317964241,8.14791441373337,0.649524349506141
"FBgn0000100",13.4480093293563,-1.14886003091098,5.27572785915504e-18,13.8730180776329,12.7600828477013,1.14886003091098
"FBgn0000108",9.91766016469906,1.01403762973894,1.85433103490005e-06,9.22028266709925,10.3227191397251,-1.01403762973894
"FBgn0000109",6.70680226321106,-0.853032582397451,1.68972226699243e-06,7.03207891807354,6.19248309598741,0.853032582397451
"FBgn0000114",11.5956917253404,0.651883119582106,1.26468174318525e-07,11.2062737489169,11.879191766611,-0.651883119582106
"FBgn0000115",7.93282034879126,-0.245397991873395,0.026141127651979,8.03806823445879,7.7970114634951,0.245397991873395
"FBgn0000116",13.7983998681289,0.665205358236126,9.65415078012324e-11,13.4136001270633,14.085640008739,-0.665205358236126
"FBgn0000117",11.0966360231651,-0.563850310918648,6.68710249127160e-13,11.3441888509552,10.7832894967253,0.563850310918648
"FBgn0000119",7.80958807014528,0.617451126133048,9.05633883957423e-05,7.41871214637142,8.07654196359833,-0.617451126133048
"FBgn0000120",12.8511819837842,1.01046656254468,1.38978342149556e-16,12.2362582431152,13.2597769549539,-1.01046656254468
"FBgn0000121",13.33082816347,0.891411039777413,6.62131459081022e-12,12.8010509655244,13.6875438798354,-0.891411039777413
"FBgn0000137",1.14064525875719,1.08393521070415,0.378971479522969,0.665946784085533,1.10180867949345,-1.08393521070415
"FBgn0000139",8.12062266988498,-0.179360251887398,0.069279739102302,8.196883278318,8.02535127764956,0.179360251887398
"FBgn0000140",9.01604878868747,-1.5807993949535,1.34473680720414e-08,9.40808328705565,8.00328522731199,1.5807993949535
"FBgn0000146",8.09476880726286,-3.01923368047173,8.1764380965254e-59,8.91404808795985,5.82942492345075,3.01923368047173
"FBgn0000147",7.81975460509542,0.091329162981102,0.739928692085797,7.64837605659968,7.84007985236227,-0.091329162981102
"FBgn0000150",12.0799994570638,-1.4615901596215,1.48960279667709e-25,12.5936191156648,11.1659345495762,1.4615901596215
"FBgn0000152",7.26594805737974,0.00174133557998456,0.989690319029416,7.2550573581795,7.25629867215035,-0.00174133557998456
"FBgn0000153",9.30550913227066,0.546631042481927,0.00215401450851384,8.96569726689223,9.52106884900632,-0.546631042481927
"FBgn0000157",6.40680804627318,0.614874523454581,0.00825040959855626,5.94031375586086,6.67844132923137,-0.614874523454581
"FBgn0000158",6.54472100115045,-3.70140046689935,2.41475869388056e-18,7.03075703797426,3.78266093706138,3.70140046689935
"FBgn0000163",8.89280866602038,0.211761405640735,0.158702426994148,8.75014195286293,8.9813669529396,-0.211761405640735
"FBgn0000166",6.74156973400384,-9.49595239220696,1.8619033648597e-33,7.60358808557571,0.209896844129118,9.49595239220696
"FBgn0000173",9.40110782293437,-0.66550364837145,1.55459674401158e-10,9.67674019388352,9.02848311799441,0.66550364837145
"FBgn0000179",5.58374490767702,0.731729143057137,0.000281334771992421,5.15195450412888,5.86059371737309,-0.731729143057137
"FBgn0000180",4.73445920463175,0.249242616239554,0.49272272967882,4.35792217738778,4.82401052403563,-0.249242616239554
"FBgn0000181",12.2632584814273,-1.01147504716395,1.215635139115e-21,12.6655906647382,11.663745651039,1.01147504716395
"FBgn0000183",9.46991257802235,-0.898650437787898,1.56467273256395e-17,9.83182089692817,8.94920321868819,0.898650437787898
"FBgn0000206",7.80662984489114,0.91394395847731,1.20015062184047e-11,7.25835820915296,8.17581109260426,-0.91394395847731
"FBgn0000212",9.33270290540464,-0.778526041891133,1.83575203536828e-05,9.59518283815576,8.89000877514214,0.778526041891133
"FBgn0000221",5.88769987679412,-0.0224955255433775,0.91900848635903,5.84889864072313,5.85834125287901,0.0224955255433775
"FBgn0000228",8.74987174569558,-0.594455995304029,3.81717769366781e-08,8.99783357257443,8.4189526601648,0.594455995304029
"FBgn0000229",8.4794925745854,0.604569932354386,1.05001153689121e-08,8.12950366840573,8.74618536909736,-0.604569932354386
"FBgn0000233",3.3878598127063,-0.140287270680882,0.720343304128336,3.39238977396463,3.25065335713238,0.140287270680882
"FBgn0000239",9.88951646243797,-0.37623959600337,0.00214673071188414,10.0368402297064,9.68748697324215,0.37623959600337
"FBgn0000241",6.32678207433186,0.305054290816568,0.201217930511564,6.13761575599351,6.38986763097865,-0.305054290816568
"FBgn0000244",9.6415682897538,0.701611513986096,3.25316511228681e-10,9.23389305256515,9.93985515118657,-0.701611513986096
"FBgn0000246",7.31290402622715,-3.02456576350075,8.93565213722815e-55,8.10177915636312,5.10927698059208,3.02456576350075
"FBgn0000247",9.12091099818769,0.0539291663593921,0.72455307334923,9.0525241693014,9.14729939068474,-0.0539291663593921
"FBgn0000250",10.4095281412216,-0.460577672352273,3.8039099095401e-06,10.6098275574907,10.1534723019275,0.460577672352273
"FBgn0000251",8.96715686247935,-0.96393055964943,1.99097772841535e-11,9.34215691861723,8.3901479468265,0.96393055964943
"FBgn0000253",12.3112828466149,0.209862344597289,0.00609175089699325,12.1985905247272,12.4064790185895,-0.209862344597289
"FBgn0000256",10.4301626072109,2.93207127400318,0,8.31915119956306,11.2489931128358,-2.93207127400318
