"mel.both_baseMean","mel.both_log2FoldChange","mel.both_padj","mel.both_m.WF","mel.both_m.RE","log2FoldChange.maleREWF"
"FBgn0000063",5.11844669804559,3.22548043241266,1.46228878349247e-07,5.95011972518307,2.01694712389439,-3.22548043241266
"FBgn0000064",13.4062825075539,2.21987532508735,1.5369439779243e-125,14.1118425333792,11.9010053833199,-2.21987532508735
"FBgn0000071",1.21200959581159,2.98050282803314,0.00424918577198165,1.51577486155409,0.161430276675422,-2.98050282803314
"FBgn0000075",3.90307569686562,2.948933440658,1.78482052722893e-10,4.576961038404,1.76903305338448,-2.948933440658
"FBgn0000077",6.4119670417011,-1.02231552070867,1.31280786608456e-13,5.79949716078152,6.81225938424736,1.02231552070867
"FBgn0000078",9.8205116390976,3.2223231099679,1.93341186929053e-09,10.5386488365547,6.76650333757277,-3.2223231099679
"FBgn0000079",10.0916223770654,3.25414075078201,8.22320675650614e-12,10.76360141822,7.24644872889398,-3.25414075078201
"FBgn0000083",10.9509900300882,-0.850272447507997,1.59224985319376e-07,10.4495303858026,11.2683608298291,0.850272447507997
"FBgn0000084",9.31189047356406,-0.80756488653201,9.56018697151522e-08,8.8510055994075,9.60998844237275,0.80756488653201
"FBgn0000092",2.78801737323994,3.9127039416461,2.01563272855273e-05,3.27036741506826,0.450965128031417,-3.9127039416461
"FBgn0000094",12.534888675386,-3.92295815569253,1.13136167999326e-75,9.43476101362714,13.4151322151289,3.92295815569253
"FBgn0000097",7.81424863922022,0.00576047364453438,0.975970442875935,7.801469611101,7.75228138142438,-0.00576047364453438
"FBgn0000100",13.2730083991277,-1.39293458490356,7.49064433376429e-51,12.4123014893646,13.7907193432101,1.39293458490356
"FBgn0000108",8.99874369881426,7.43718207364466,7.97841926574881e-174,9.97519075890231,2.54438762386503,-7.43718207364466
"FBgn0000109",6.13421315372249,-0.485486835765997,0.0100304802133508,5.85003961873106,6.30380688787121,0.485486835765997
"FBgn0000114",10.6315921295087,3.88562138231008,0.000126321367443031,11.5314581690816,4.6503197384589,-3.88562138231008
"FBgn0000115",8.50747836983015,-1.65359281384654,1.87507673895484e-45,7.45095404445373,9.08741255442454,1.65359281384654
"FBgn0000116",13.0791753902742,1.93867686374371,1.7053484630359e-77,13.7378245290544,11.7887120959582,-1.93867686374371
"FBgn0000117",10.6502537202449,-0.393607062546711,5.30569758431684e-09,10.4356746025806,10.8286690866389,0.393607062546711
"FBgn0000119",7.71259994391791,0.0465817944847042,0.659649446808534,7.73016075362573,7.67288599666108,-0.0465817944847042
"FBgn0000120",11.9218443477102,10.3792181801112,2.92302804796153e-66,12.9119789753043,1.72137007173488,-10.3792181801112
"FBgn0000121",12.3601968023082,9.94551967590775,3.62452155198435e-28,13.3397357401705,1.92694845188094,-9.94551967590775
"FBgn0000139",8.01387321027635,-0.604580668946721,2.9369220931831e-08,7.67903042556855,8.26160472101963,0.604580668946721
"FBgn0000140",6.76874971660529,3.95633729504334,0.0128050076397887,7.65698593246116,0.873585158076918,-3.95633729504334
"FBgn0000146",4.73509826977264,3.24396727524061,1.56466362175223e-06,5.48886510201939,1.749428808897,-3.24396727524061
"FBgn0000147",6.62297155309127,3.77170101365508,0.000136162018295747,7.49397089368606,1.72815273342287,-3.77170101365508
"FBgn0000150",11.3459941573202,-0.902628556714621,4.84709300523143e-21,10.8182689350758,11.7145569681886,0.902628556714621
"FBgn0000152",7.61806572497078,-1.16289539207972,9.05566310432895e-20,6.91105789928706,8.06264133750903,1.16289539207972
"FBgn0000153",8.2312633309964,6.15609695141525,5.8288987382556e-113,9.1737844444706,3.12814383034622,-6.15609695141525
"FBgn0000157",5.38007623002738,6.1922148674154,2.93168736826232e-28,6.33445770848927,0.750778204210854,-6.1922148674154
"FBgn0000158",2.69387494699453,3.75702911397764,2.39982041280572e-07,3.4639862464875,0.566016242140397,-3.75702911397764
"FBgn0000163",8.40604221152371,0.53720128900279,3.66094890105036e-05,8.63431724422201,8.09199057951435,-0.53720128900279
"FBgn0000173",8.94810988272439,-0.487573853031022,1.07164430503427e-08,8.68139773192579,9.15845310967272,0.487573853031022
"FBgn0000179",4.64910562938204,4.36218804325056,1.38790504350962e-11,5.51964528709249,0.812454644993089,-4.36218804325056
"FBgn0000180",3.81820419493108,2.38517468658529,4.17701023482421e-06,4.49051691856944,1.65428157193341,-2.38517468658529
"FBgn0000181",11.9263859492004,-1.02977457624124,1.78221185445878e-25,11.3160287638711,12.3351809071447,1.02977457624124
"FBgn0000183",8.86742947786268,-0.477918106598591,3.63378257608019e-07,8.60216437765222,9.07387596055674,0.477918106598591
"FBgn0000206",6.85222533787377,9.19032085671715,2.09235500922014e-35,7.82934121728186,0.291100727686199,-9.19032085671715
"FBgn0000212",8.79377566665975,-0.453911574139084,1.19978234547723e-05,8.5430041690204,8.98611598159965,0.453911574139084
"FBgn0000221",5.4665536288434,0.154129093096996,0.313352303724805,5.51729503193881,5.37400839824391,-0.154129093096996
"FBgn0000228",8.6054131571958,-0.91121488059551,2.81422088197864e-17,8.07226719035454,8.97124944748543,0.91121488059551
"FBgn0000229",8.15443347830491,0.551771807089938,1.42659586534716e-11,8.39926433909686,7.84215311779206,-0.551771807089938
"FBgn0000233",2.23596430310164,4.18324965996545,2.02872080006538e-07,2.94635873159563,0.290307565812521,-4.18324965996545
"FBgn0000239",9.174886120273,0.360608567871573,5.95410956746191e-12,9.34012506386336,8.98245225297846,-0.360608567871573
"FBgn0000241",5.30399972554205,3.10543723483722,7.60369974701717e-22,6.04709104753235,3.02407352853113,-3.10543723483722
