Fly	Cross	eye	Cop_start	Cop_end	Duration	Mate	Freeze	Freeze_Day	Freeze_Time	1Egg	1Hatch	2Egg	2Hatch	3Egg	3Hatch	4Egg	4Hatch	DiedEarly	NoYeastFirst	MaybeMixUp	ReasonExclude	eye2	ST	PO	Plug	Egg	SRsperm	STsperm1	STsperm2	FRTabnormal	EyeMismatch	AnnotationMixup	EggOviduct	EggDegen	NoSpermXfer	ExcludeMismatch
100	63x64	dent	10:31	11:09	0:38	Y	24	16	11:40	62	35							N	N	N	N	dent	2	0	N	N	326	38	83	N	N	N	N	N	N	N
101	63x64	full	11:12	11:41	0:29	Y	96	19		0	0	0	0	0	0	0	0	N	N	N	N															N
102	63x64	full	10:58	11:29	0:31	Y	72	18	12:35	0	0	0	0	0	0			N	N	N	N	WT	0	0	Y	N	13			N	N	Y	N	N	N	N
103	63x64	full	10:20	10:59	0:39	Y	72	18	12:35	60	29	64	60	13	12			N	N	N	N	WT	0	0	N	N	34			N	N	N	N	N	N	N
104	63x64	full	10:17	10:53	0:36	Y	72	18	12:35	18	18	51	47	36	36			N	N	N	N	WT	0	0	N	Y	232			N	N	N	N	N	N	N
105						N												N	N	N	N									N	N	N	N	N	N	N
106	63x64	full	10:31	11:03	0:32	Y	24	16	11:40	45	43							N	N	N	N	WT	0	0	N	Y	2									N
107	63x64	full	10:45	11:20	0:35	Y	6	15	17:30	0	0							N	N	N	N	dent	2	0	N	N	331	90	63	N	Y	N	N	N	N	Y
108	63x64	full	11:16	11:50	0:34	Y	96	19		0	0	0	0	0	0	0	0	N	N	N	N	WT	0	0	Y	Y	38									N
109	63x64	full	10:23	10:53	0:30	Y	72	18	12:35	0	0	0	0	0	0			N	N	N	N	WT	0	0	Y	Y	148									N
110	63x64	full	11:36	12:13	0:37	Y	48	17	15:20	0	0	49	42					N	N	N	N	WT	0	0	Y	N	0			N	N	N	N	N	N	N
111	63x64	full	10:34	11:09	0:35	Y	24	16	11:40	57	32							N	N	N	N	WT	0	0	N	Y	3			N	N	N	N	N	N	N
112	63x64	full	12:32	13:06	0:34	Y	2	15	15:12	0	0							N	Y	N	Y															N
113	63x64	full	10:45	11:16	0:31	Y	96	19		21	21	17	16	39	39	55	52	N	N	N	N	dent	2	0	N	Y	97	46	46	N	Y	Y	N	N	N	Y
114	63x64	full	10:59	11:36	0:37	Y	96	19		0	0	2	2	0	0	0	0	N	N	N	N	dent	2	0	N	N	38	25	50	N	Y	N	N	N	N	Y
115	63x64	full	10:34	11:09	0:35	Y	24	16	11:40	0	0							N	N	N	N	WT	0	0	N	Y	194			N	N	N	N	N	N	N
116	63x64	full	10:34	11:08	0:34	Y	24	16	11:40	0	0							N	N	N	N	WT	0	0	N	Y	239			N	N	N	N	N	N	N
117	63x64	full	10:39	11:12	0:33	Y	24	16	11:40	0	0							N	N	N	N	WT	0	0	Y	N	304			N	N	N	N	N	N	N
118	63x64	full	10:21	10:59	0:38	Y	72	18	12:35	0	0	0	0	0	0			N	N	N	N	WT	0	0	Y	Y	92			Y	N	N	Y	N	N	N
119	63x64	full	12:54	13:25	0:31	Y	48	17	15:20	45	28	65	65					N	N	N	N	WT	0	0	Y	Y	56			N	N	N	N	N	N	N
120	63x64	full				N												N	N	N	N															N
121	63x64	full	10:21	10:59	0:38	Y	72	18	12:35	0	0	0	0	0	0			N	N	N	N	WT	0	0	Y	N	40			N	N	N	N	N	N	N
122	63x64	full	10:45	11:12	0:27	Y	24	16	11:40	0	0							N	N	N	N	WT	0	0	Y	N	154			N	N	N	N	N	N	N
123	63x64	full	11:16	11:48	0:32	Y	96	19		0	0	0	0	0	0	0	0	N	N	N	N	dent	2	0	N	N	329	23	37	N	Y	N	N	N	N	Y
124	63x64	full	12:18	12:46	0:28	Y	2	15	15:00	0	0							N	Y	N	Y															N
125	63x64	full	10:46	11:13	0:27	Y	72	18	12:35	33	28	53	42	41	41			N	N	N	N	WT	0	0	N	Y	59									N
126	63x64	full	10:40	15:21	4:41	Y	48	17	15:20	0	0	0	0					N	N	N	N	WT	0	0	Y	Y	188									N
127	63x64	full	11:25	12:09	0:44	Y	48	17	15:20	18	16	0	0					N	N	N	N	WT	0	0	N	Y	11			Y	N	N	N	N	N	N
128	63x64	full	13:34	14:09	0:35	Y	48	17	15:20	0	0	75	61					N	Y	N	Y	WT	0	0	Y	Y	54									N
129	63x64	full	10:46	11:13	0:27	Y	24	16	11:40	44	14							N	N	N	N	WT	0	0	N	Y	49			N	N	N	N	N	N	N
130	63x64	full	10:35	11:08	0:33	Y	24	16	11:40	37	19							N	N	N	N	dent	2	1	N	N	429	129	99	N	Y	N	N	N	N	Y
131	63x64	full	10:31	11:07	0:36	Y	24	16	11:40	0	0							N	N	N	N															N
132	63x64	full	13:30	14:02	0:32	Y	48	17	15:20	29	29	65	62					N	N	N	N	WT	0	0	Y	Y	58			Y	N	N	N	N	N	N
133	63x64	full	13:37	14:09	0:32	Y	48	17	15:20	0	0	49	44					N	Y	N	Y	WT	0	0	N	Y	226			N	N	N	N	N	N	N
134	63x64	full	12:35	13:03	0:28	Y	2	15	15:00	0	0							N	N	N	N															N
135	63x64	full				N												N	N	N	N															N
136	63x64	full	10:40	11:20	0:40	Y	6	15	17:30	0	0							N	N	N	N	WT	0	0	Y	N	354			N	N	N	N	N	N	N
137	63x64	full	11:25	12:09	0:44	Y	96	19		0	0	0	0	0	0	0	0	N	N	N	N															N
138	63x64	full	10:46	11:16	0:30	Y				0	0							N	N	N	N															N
139	63x64	full	10:54	11:25	0:31	Y	96	19		0	0	0	0	0	0	0	0	N	N	N	N															N
140	63x64	full	10:50	11:20	0:30	Y	6	15	17:30	0	0							N	N	N	N	WT	0	0	Y	N	183			N	N	N	N	N	N	N
141	63x64	full	11:00	11:21	0:21	Y	6	15	17:30	0	0							N	N	N	N	WT	0	0	Y	N	262			N	N	N	N	N	N	N
142	63x64	full	10:50	11:17	0:27	Y	96	19		37	24	36	28	0	0	39	34	N	N	N	N															N
143	63x64	full	10:54	11:25	0:31	Y	96	19		0	0	0	0	0	0	0	0	N	N	N	N	WT	0	0	Y	Y	44			N	N	N	N	N	N	N
